"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4UNI7NvY0ti3jJikm4f4ld","Rain Relaxation","spotify:artist:7L2I1AuvyRXd2ysLSTeKZX","PIÑA PINK","spotify:album:12rvDONgzBXcUOS62Z1GZZ","Rain Relaxation","spotify:artist:7L2I1AuvyRXd2ysLSTeKZX","PIÑA PINK","2021-10-15","https://i.scdn.co/image/ab67616d0000b273c898e6fd7437ebb922863af5","1","1","180197","https://p.scdn.co/mp3-preview/fd5cd9fcfabbdab4daef79dd74e94a0967e69596?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:","2022-03-04T16:39:03Z","study beats","0.72","0.422","3","-14.467","1","0.0487","0.95","0.807","0.0751","0.0392","151.982","4","","PIÑA PINK","C PIÑA PINK, P PIÑA PINK"
"spotify:track:7D0PbgrpVfUVASPPxn7TRz","C'est La Vie","spotify:artist:23NNLBrSC7178qCz3ISpxt","Caicey","spotify:album:6F8C5YZ6hamcOshnDsrhNV","C'est La Vie","spotify:artist:23NNLBrSC7178qCz3ISpxt","Caicey","2021-08-26","https://i.scdn.co/image/ab67616d0000b2738fd6004e3a1f18ec5c76aac2","1","1","117424","https://p.scdn.co/mp3-preview/0bf83590818587a2a9729b504dad4a7be333dc9e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:","2022-03-04T16:39:03Z","","0.814","0.458","3","-13.914","0","0.121","0.946","0.937","0.388","0.572","75.99","4","","Caicey","C 2021 Caitlyn Tracey, P 2021 Caitlyn Tracey"
"spotify:track:2erTD4TOUuyp9qOpxvjOth","with a view","spotify:artist:3PsElXP6TTwUalgNPiyyzH","FREJA","spotify:album:778g7gufAHzaImJPGPRGRl","with a view","spotify:artist:3PsElXP6TTwUalgNPiyyzH","FREJA","2021-10-08","https://i.scdn.co/image/ab67616d0000b273bdff76494234214072265154","1","1","139319","https://p.scdn.co/mp3-preview/d6846bcd536b4dcb91531cbef960d6ea160a1436?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:","2022-03-04T16:39:03Z","study beats","0.48","0.521","4","-13.518","1","0.0764","0.969","0.909","0.122","0.776","76.009","4","","Andrés Oddone","C 2021 Andrés Oddone, P 2021 Andrés Oddone"
"spotify:track:28D9EaiySXKtyg37WFQqpT","Veil","spotify:artist:1PwlJoSttX1ML8TPVnRpra, spotify:artist:6izk2AxfY5QGz8SULMzdLI","Hans Hu$tle, KOMOREBI","spotify:album:2ekQFQS4i8Jps7mEqN8Kjh","Veil","spotify:artist:1PwlJoSttX1ML8TPVnRpra, spotify:artist:6izk2AxfY5QGz8SULMzdLI","Hans Hu$tle, KOMOREBI","2021-10-15","https://i.scdn.co/image/ab67616d0000b27308c4692a12e8d5de22e419c7","1","1","137278","https://p.scdn.co/mp3-preview/b5eab49bcd6d0c2c9ee5bff877f3114bbc17f25b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:","2022-03-04T16:39:03Z","lo-fi jazzhop,lo-fi jazzhop","0.591","0.33","2","-10.195","1","0.0506","0.222","0.899","0.1","0.215","84.035","4","","Golden Ticket","C 2021 Hans Hu$tle & KOMOREBI, P 2021 Hans Hu$tle & KOMOREBI"
"spotify:track:2LHjVBewQoqtWECN4awbV4","Squares and Circles","spotify:artist:09UkA3EeHfOWE3kQszp0sA","Untitled Yet Known","spotify:album:3xTcifMhPCALnDMmJdKIIx","Moments of Stillness","spotify:artist:09UkA3EeHfOWE3kQszp0sA","Untitled Yet Known","2022-01-31","https://i.scdn.co/image/ab67616d0000b2730cc6a73dd0711a40844fbec6","1","3","120750","https://p.scdn.co/mp3-preview/336acb8608181de98a91dd14d1ab8dce2a91720d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:","2022-03-04T16:39:03Z","","0.395","0.14","11","-18.866","0","0.0867","0.799","0.937","0.108","0.0501","80.015","4","","Firefly Entertainment AB","C Untitled Yet Known, P Untitled Yet Known"
"spotify:track:0E2cuECAuRuk34iTMyVwrb","We are nature","spotify:artist:2uHiTGGGiEJEA3dgYeLlH8","Fluurish_ish","spotify:album:1y12revksPeIU6RaNLr6jO","We are nature","spotify:artist:2uHiTGGGiEJEA3dgYeLlH8","Fluurish_ish","2021-10-15","https://i.scdn.co/image/ab67616d0000b273d0a4cc06f40757b31f113bc9","1","1","167441","https://p.scdn.co/mp3-preview/2066c97432cb6ad374e8a6a20bdf26a6f2d1dcfe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:","2022-03-04T16:39:03Z","","0.441","0.135","2","-16.369","1","0.0673","0.92","0.845","0.401","0.139","107.129","5","","Firefly Entertainment AB","C Fluurish_ish, P Fluurish_ish"
"spotify:track:3ImHLPyqf739WgzXKjPqfU","In Perpetuum","spotify:artist:5f2AVkePCObkkyEwAx4jef","beauBAE","spotify:album:2dou5NJzqX9nWvR6eoamLM","In Perpetuum","spotify:artist:5f2AVkePCObkkyEwAx4jef","beauBAE","2022-01-31","https://i.scdn.co/image/ab67616d0000b273d7f00d291f9b7c4b738cb193","1","1","112500","https://p.scdn.co/mp3-preview/ebf48747198d6cee8f6ee6575fe5f1c925471a2c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:","2022-03-04T16:39:03Z","","0.657","0.635","11","-8.43","1","0.297","0.744","0.834","0.117","0.689","80.05","4","","Defective Tomato","C 2022 Defective Tomato, P 2022 Defective Tomato"
"spotify:track:2pir3lGD2dNsBjPRCN5Xxt","So Unique","spotify:artist:1kmThtC0J9kzWqMy89sIyJ","Zho Zho","spotify:album:73gM76gHJIEXqrY1idyLIG","Indigo Rum","spotify:artist:1kmThtC0J9kzWqMy89sIyJ","Zho Zho","2021-08-21","https://i.scdn.co/image/ab67616d0000b273aa713542c91bb8af60b1ebde","1","2","159175","https://p.scdn.co/mp3-preview/c12ea8e1c04fe14fb1919a5b37e28ebd770ad65b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:","2022-03-04T16:39:03Z","","0.718","0.0634","7","-20.546","0","0.206","0.577","0.799","0.0982","0.225","74.956","4","","Zho Zho","C Zho Zho, P Zho Zho"
"spotify:track:5qaQn9EJqXN2oX3wnoahSP","Last Summer","spotify:artist:7LWdcPFBFcRaamGjIJbPV7, spotify:artist:13rVXSdnUlcpvFQ2iuop8a","Laffey, SCayos","spotify:album:4JPGEFUfwc7hh8lU1IuRCg","Last Summer","spotify:artist:7LWdcPFBFcRaamGjIJbPV7, spotify:artist:13rVXSdnUlcpvFQ2iuop8a","Laffey, SCayos","2021-06-18","https://i.scdn.co/image/ab67616d0000b27371fe392298a0eb2449ed5d6c","1","1","149343","https://p.scdn.co/mp3-preview/f446088d84de4100277a7df6c65a93ccc07a8052?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:","2022-03-04T16:39:03Z","lo-fi beats,focus beats","0.624","0.223","2","-13.917","1","0.0641","0.959","0.8","0.0985","0.126","64.974","4","","Laffey & SCayos","C 2021 Laffey & SCayos, P 2021 Laffey & SCayos"
"spotify:track:0N8xcgJldOu3c7sOM3xo7K","Fade Away","spotify:artist:6VnH3ZBgQcJl7aukGnVjjL","lostoutside","spotify:album:2evuwGsDHMb3h17P7v2Tc8","Fade Away","spotify:artist:6VnH3ZBgQcJl7aukGnVjjL","lostoutside","2021-10-20","https://i.scdn.co/image/ab67616d0000b2734dc3918a1b6ebd2e31edf788","1","1","164500","https://p.scdn.co/mp3-preview/fd5ae448856b625608d72047da43e778434fb865?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:","2022-03-04T16:39:03Z","","0.672","0.142","4","-14.155","1","0.0373","0.573","0.921","0.112","0.189","139.904","4","","Goji Records","C 2021 Goji Records, P 2021 Goji Records"
"spotify:track:3UCygC7JAMINFBr2fQL91x","2 unreal","spotify:artist:7E4tM3LfCNhRISIXPPprFE","heavy tone","spotify:album:61lwGB5uZ3W8FQk233sGHE","2 unreal","spotify:artist:7E4tM3LfCNhRISIXPPprFE","heavy tone","2021-10-08","https://i.scdn.co/image/ab67616d0000b27397c142564a4e22dda08ec1d8","1","1","130313","https://p.scdn.co/mp3-preview/9d7a358e2102ea6b67ec24907d596e95872633ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:","2022-03-04T16:39:03Z","","0.586","0.357","4","-11.204","0","0.0527","0.821","0.894","0.0988","0.346","75.508","4","","heavy tone","C heavy tone, P heavy tone"
